alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
1.0,0.000113,3,0,0.7632,0.0099,0.7632,0.0099,0.8181,0.0099
1.0,0.000113,3,1,0.8486,0.0104,0.8484,0.0104,0.9082,0.0069
1.0,0.000113,3,2,0.8538,0.0126,0.8536,0.0127,0.9113,0.0068
1.0,0.000113,3,3,0.859,0.0124,0.8588,0.0124,0.9134,0.0068
1.0,0.000113,3,4,0.8608,0.0115,0.8606,0.0115,0.9142,0.0068
1.0,0.000113,3,5,0.8584,0.0103,0.8581,0.0103,0.9144,0.0065
1.0,0.000113,3,6,0.8588,0.0099,0.8586,0.01,0.9144,0.0063
1.0,0.000113,3,7,0.858,0.0099,0.8578,0.0099,0.9139,0.0061
1.0,0.000162,3,0,0.7621,0.01,0.762,0.0101,0.8177,0.01
1.0,0.000162,3,1,0.8488,0.0105,0.8486,0.0105,0.9082,0.0069
1.0,0.000162,3,2,0.8538,0.0126,0.8536,0.0127,0.9114,0.0067
1.0,0.000162,3,3,0.8592,0.0125,0.8589,0.0125,0.9135,0.0068
1.0,0.000162,3,4,0.8608,0.0114,0.8606,0.0114,0.9142,0.0069
1.0,0.000162,3,5,0.8585,0.0104,0.8583,0.0104,0.9144,0.0065
1.0,0.000162,3,6,0.8588,0.0099,0.8586,0.01,0.9144,0.0063
1.0,0.000162,3,7,0.858,0.0099,0.8578,0.0099,0.9139,0.0061
1.0,0.000234,3,0,0.7631,0.0103,0.763,0.0103,0.8179,0.0098
1.0,0.000234,3,1,0.8491,0.0105,0.8489,0.0105,0.9083,0.0069
1.0,0.000234,3,2,0.854,0.0124,0.8538,0.0124,0.9114,0.0068
1.0,0.000234,3,3,0.8592,0.0125,0.8589,0.0125,0.9135,0.0068
1.0,0.000234,3,4,0.8608,0.0114,0.8606,0.0114,0.9142,0.0068
1.0,0.000234,3,5,0.8585,0.0104,0.8583,0.0104,0.9144,0.0065
1.0,0.000234,3,6,0.8588,0.0099,0.8586,0.01,0.9144,0.0063
1.0,0.000234,3,7,0.8582,0.01,0.858,0.01,0.9139,0.0061
1.0,0.000483,3,0,0.7634,0.0083,0.7633,0.0084,0.8189,0.0099
1.0,0.000483,3,1,0.8493,0.0105,0.8491,0.0105,0.9085,0.0069
1.0,0.000483,3,2,0.8543,0.0115,0.8541,0.0116,0.9116,0.0068
1.0,0.000483,3,3,0.8592,0.0125,0.8589,0.0125,0.9136,0.0068
1.0,0.000483,3,4,0.8608,0.0112,0.8606,0.0112,0.9142,0.0068
1.0,0.000483,3,5,0.8587,0.0105,0.8584,0.0105,0.9145,0.0065
1.0,0.000483,3,6,0.8588,0.0099,0.8586,0.0099,0.9144,0.0062
1.0,0.000483,3,7,0.8582,0.01,0.858,0.01,0.9139,0.0061
