dataset,niter_hcc,acc,f1_score,roc_auc_score
Mutagenicity,0,0.639,0.6296,0.6831
Mutagenicity,1,0.7467,0.7463,0.8015
Mutagenicity,2,0.7989,0.7985,0.865
Mutagenicity,3,0.831,0.8308,0.901
Mutagenicity,4,0.8385,0.8384,0.9103
Mutagenicity,5,0.8409,0.8408,0.9138
Mutagenicity,6,0.8419,0.8419,0.9152
Mutagenicity,7,0.841,0.8409,0.9156
MSRC_21,0,0.9059,0.902,0.9947
MSRC_21,1,0.891523076923077,0.887723076923077,0.9939923076923077
MSRC_21,2,0.8859,0.8825307692307691,0.9938
MSRC_21,3,0.8824,0.8798,0.9937
MSRC_21,4,0.8799076923076924,0.877523076923077,0.9935000000000002
MSRC_21,5,0.8772384615384615,0.8750076923076923,0.9933692307692308
MSRC_21,6,0.8750230769230769,0.8730692307692307,0.9932769230769231
MSRC_21,7,0.8737615384615385,0.871976923076923,0.9931384615384615
NCI109,0,0.7529,0.7529,0.815
NCI109,1,0.8457,0.8455,0.9042
NCI109,2,0.8487,0.8486,0.9086
NCI109,3,0.8557,0.8555,0.9111
NCI109,4,0.8543,0.8541,0.9117
NCI109,5,0.8573,0.8571,0.9121
NCI109,6,0.8561,0.8559,0.9116
NCI109,7,0.8547,0.8545,0.9111
IMDB-MULTI,0,0.492,0.4834,0.6802
IMDB-MULTI,1,0.4938,0.4865,0.6768
IMDB-MULTI,2,0.4964,0.4894,0.6801
IMDB-MULTI,3,0.4978,0.4908,0.6796
IMDB-MULTI,4,0.5005,0.4935,0.6782
IMDB-MULTI,5,0.4969,0.49,0.6768
IMDB-MULTI,6,0.4969,0.49,0.675
IMDB-MULTI,7,0.4969,0.4902,0.6771
BZR_MD,0,0.6783,0.6726,0.7095
BZR_MD,1,0.6891,0.6787,0.7163
BZR_MD,2,0.6848,0.6741,0.7145
BZR_MD,3,0.6848,0.6749,0.7133
BZR_MD,4,0.6826,0.6733,0.713
BZR_MD,5,0.6783,0.6692,0.7127
BZR_MD,6,0.6783,0.6695,0.7133
BZR_MD,7,0.6783,0.6699,0.7133
ER_MD,0,0.7492,0.7462,0.8066
ER_MD,1,0.7388,0.7291,0.8079
ER_MD,2,0.7388,0.729,0.8079
ER_MD,3,0.7388,0.729,0.8078
ER_MD,4,0.7373,0.7273,0.808
ER_MD,5,0.7313,0.7202,0.8088
ER_MD,6,0.7284,0.7166,0.809
ER_MD,7,0.7269,0.715,0.809
DHFR,0,0.8237,0.8229,0.8966
DHFR,1,0.8316,0.8302,0.906
DHFR,2,0.8368,0.8347,0.9097
DHFR,3,0.8482,0.8461,0.9131
DHFR,4,0.8482,0.8458,0.915
DHFR,5,0.85,0.8476,0.9151
DHFR,6,0.8491,0.8467,0.9145
DHFR,7,0.8465,0.844,0.9136
COX2_MD,0,0.6913,0.6896,0.7528
COX2_MD,1,0.7239,0.7222,0.7372
COX2_MD,2,0.7239,0.7222,0.7365
COX2_MD,3,0.7261,0.7244,0.7368
COX2_MD,4,0.7261,0.7244,0.737
COX2_MD,5,0.7261,0.7244,0.737
COX2_MD,6,0.7239,0.7221,0.7367
COX2_MD,7,0.7239,0.7221,0.7366
